Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale,Energy,Energy sc,Energy log,Energy log pos,Vis radius,Vis radius scaled
2015 HS182,2018,2113,122,5.90E-08,7.56,25.8,0.024,-7.31,-8.3,0,0.000790091,79009.13664,61.85400661,88.85400661,7.86473182,78.6473182
2004 BN41,2086,2098,2,5.20E-07,7.58,25.8,0.024,-6.98,-7.07,0,0.000794277,79427.72736,61.88298847,88.88298847,7.866574126,78.66574126
2014 HR197,2017,2112,187,7.90E-08,17.02,26.9,0.014,-7.18,-7.97,0,0.000794883,79488.30176,61.88716979,88.88716979,7.866839886,78.66839886
2012 TU231,2111,2111,1,4.00E-07,9.97,26.2,0.02,-7.31,-7.31,0,0.000795207,79520.72,61.88940624,88.88940624,7.866982029,78.66982029
2016 FX13,2097,2097,1,2.20E-09,13.98,26.7,0.016,-9.6,-9.6,0,0.000800524,80052.38784,61.92595514,88.92595514,7.869304616,78.69304616
2012 XL55,2066,2066,1,4.90E-08,19.09,27,0.013,-8.08,-8.08,0,0.000800649,80064.85357,61.92680917,88.92680917,7.869358879,78.69358879
2015 KA158,2024,2113,41,3.30E-08,14,26.6,0.016,-7.89,-8.55,0,0.000802816,80281.6,61.94163725,88.94163725,7.870300963,78.70300963
2015 KW157,2042,2096,6,6.80E-09,9.36,26,0.021,-8.69,-8.97,0,0.000811353,81135.25056,61.99965051,88.99965051,7.873985681,78.73985681
2011 EC,2051,2051,1,8.90E-08,6.83,25.6,0.026,-7.34,-7.34,0,0.000819901,81990.10664,62.05713722,89.05713722,7.877635256,78.77635256
2004 RU109,2038,2053,5,4.30E-07,12.93,26.5,0.017,-6.81,-7.14,0,0.000821379,82137.94137,62.06701788,89.06701788,7.878262364,78.78262364
2012 WS3,2082,2115,31,7.30E-06,8.79,25.9,0.022,-5.91,-6.85,0,0.000822708,82270.81368,62.07588334,89.07588334,7.878824998,78.78824998
2011 SO189,2056,2090,12,0.0001,12.98,26.5,0.017,-4.74,-5.15,0,0.000827744,82774.42052,62.10935537,89.10935537,7.880948887,78.80948887
2015 EO,2050,2077,6,7.10E-06,14.25,26.6,0.016,-5.9,-6.13,0,0.000831744,83174.4,62.13579506,89.13579506,7.882626152,78.82626152
2016 BA15,2054,2108,14,1.70E-05,15.88,26.8,0.015,-5.46,-5.57,0,0.000851089,85108.86,62.26189937,89.26189937,7.890620975,78.90620975
2013 TP4,2026,2026,1,6.20E-05,25.3,27.5,0.011,-4.36,-4.36,0,0.00085196,85195.979,62.26751086,89.26751086,7.890976546,78.90976546
2016 NJ56,2035,2079,10,5.50E-08,4.94,25.1,0.033,-7.16,-7.3,0,0.000876992,87699.21732,62.42634417,89.42634417,7.901034373,79.01034373
2010 FD,2085,2104,2,1.40E-06,9.79,26,0.021,-6.57,-6.6,0,0.000887612,88761.22101,62.49236423,89.49236423,7.905211207,79.05211207
2007 TL16,2074,2092,10,9.10E-06,11.43,26.2,0.019,-5.8,-5.91,0,0.000896093,89609.33691,62.54452299,89.54452299,7.90850953,79.0850953
2011 BH40,2023,2115,63,1.30E-07,5.31,25.1,0.032,-6.8,-7.47,0,0.00092393,92392.98048,62.71231163,89.71231163,7.919110533,79.19110533
2014 UD57,2086,2108,4,7.00E-06,8.72,25.8,0.023,-5.81,-5.9,0,0.000925159,92515.92128,62.71960503,89.71960503,7.919571013,79.19571013
2015 UR67,2091,2091,1,4.90E-06,11.63,26.3,0.019,-6.12,-6.12,0,0.000927727,92772.70771,62.73480755,89.73480755,7.920530762,79.20530762
2015 XP,2067,2067,1,1.20E-06,8.23,25.8,0.024,-6.43,-6.43,0,0.00093634,93633.96096,62.7854908,89.7854908,7.923729602,79.23729602
2011 ES4,2031,2112,48,2.90E-05,7.75,25.7,0.025,-5.01,-5.39,0,0.000938477,93847.65625,62.79799421,89.79799421,7.924518548,79.24518548
2010 XU,2065,2065,1,1.50E-10,6.22,25.4,0.029,-10.17,-10.2,0,0.000943571,94357.13876,62.82768978,89.82768978,7.926391977,79.26391977
2008 YC3,2090,2092,2,8.30E-09,6.24,25.4,0.029,-8.6,-8.66,0,0.000949649,94964.91264,62.86290532,89.86290532,7.928613076,79.28613076
2009 EW,2075,2081,4,1.80E-06,12.83,26.4,0.018,-6.48,-6.68,0,0.000959999,95999.91048,62.92235948,89.92235948,7.932361532,79.32361532
2017 AE21,2020,2117,90,3.20E-06,4.97,25,0.034,-4.87,-5.42,0,0.000970844,97084.41736,62.98397383,89.98397383,7.936244315,79.36244315
2010 TD,2072,2091,5,2.70E-06,18.86,26.9,0.014,-6.34,-6.75,0,0.00097604,97603.97024,63.01324787,90.01324787,7.938088427,79.38088427
2012 VZ19,2101,2101,2,4.50E-10,7.92,25.6,0.025,-10,-10.2,0,0.0009801,98010,63.03601722,90.03601722,7.93952248,79.3952248
2015 DD54,2114,2114,1,2.60E-06,6.7,25.4,0.028,-6.25,-6.25,0,0.000985425,98542.528,63.06573777,90.06573777,7.941393944,79.41393944
2007 YS56,2104,2113,3,6.10E-06,9.14,25.8,0.023,-5.99,-6.25,0,0.001016426,101642.6313,63.23562901,90.23562901,7.952083312,79.52083312
2011 BU59,2089,2113,11,8.50E-06,11.34,26.2,0.02,-5.88,-6.05,0,0.001028765,102876.48,63.30180878,90.30180878,7.956243384,79.56243384
2011 BG10,2051,2074,4,2.20E-06,12.29,26.3,0.019,-6.13,-6.39,0,0.001036011,103601.1482,63.34030871,90.34030871,7.958662495,79.58662495
2009 BE,2061,2114,26,0.00065,11.46,26.1,0.02,-3.86,-4.15,0,0.001050653,105065.28,63.41727963,90.41727963,7.963496696,79.63496696
2015 VK1,2103,2109,2,4.00E-07,14.73,26.5,0.017,-7.27,-7.5,0,0.001065988,106598.7858,63.49675597,90.49675597,7.968485174,79.68485174
2009 OW6,2080,2115,2,4.90E-06,6.65,25.3,0.029,-5.81,-6.01,0,0.001078543,107854.2553,63.56097606,90.56097606,7.972513785,79.72513785
2014 HK197,2057,2115,16,3.30E-09,18.05,26.7,0.015,-9.28,-10.2,0,0.001099583,109958.3438,63.66694693,90.66694693,7.979157031,79.79157031
2012 CU,2040,2100,4,9.70E-07,10.94,26,0.021,-6.64,-7.05,0,0.00110839,110838.982,63.71069893,90.71069893,7.981898204,79.81898204
2007 UT3,2065,2115,5,2.80E-07,9.05,25.7,0.024,-7.08,-7.4,0,0.00113222,113222.016,63.82737246,90.82737246,7.989203494,79.89203494
2016 TQ2,2110,2115,7,3.80E-06,15.21,26.4,0.017,-6.29,-6.56,0,0.001136594,113659.3563,63.84851773,90.84851773,7.990526749,79.90526749
2015 TL21,2061,2094,3,2.50E-06,15.32,26.4,0.017,-6.21,-6.36,0,0.001153093,115309.2891,63.92756552,90.92756552,7.995471563,79.95471563
2014 MB6,2075,2075,1,1.40E-08,13.07,26.2,0.019,-8.49,-8.49,0,0.001171688,117168.7989,64.01530957,91.01530957,8.000956791,80.00956791
2002 AN129,2080,2080,1,2.00E-08,11.35,26.1,0.021,-8.34,-8.34,0,0.001193025,119302.5173,64.11429298,91.11429298,8.007140125,80.07140125
2016 TT,2084,2095,3,4.50E-07,11.59,26,0.021,-6.98,-6.99,0,0.001244013,124401.2534,64.34383153,91.34383153,8.021460686,80.21460686
2005 UA1,2036,2036,1,6.40E-08,14.68,26.4,0.018,-7.38,-7.38,0,0.00125681,125680.9997,64.39996692,91.39996692,8.024958998,80.24958998
2009 JF1,2022,2022,1,0.00024,23.92,27.1,0.013,-3.43,-3.43,0,0.00125705,125704.9581,64.40101239,91.40101239,8.025024136,80.25024136
2014 HN198,2019,2115,170,1.20E-07,9.65,25.7,0.024,-7.01,-7.77,0,0.001287325,128732.544,64.53154764,91.53154764,8.033153033,80.33153033
2012 RU16,2077,2089,2,1.10E-07,8.66,25.6,0.026,-7.48,-7.64,0,0.001318123,131812.2666,64.6612182,91.6612182,8.041219945,80.41219945
2016 LG10,2108,2108,3,3.30E-06,8.69,25.6,0.026,-6.11,-6.44,0,0.001327271,132727.0974,64.69915356,91.69915356,8.043578405,80.43578405
2015 UH52,2075,2101,3,1.10E-06,11.19,26,0.022,-6.59,-6.85,0,0.001333301,133330.1033,64.72401574,91.72401574,8.045123724,80.45123724
2012 VE77,2035,2035,1,2.40E-06,15.28,26.4,0.018,-5.77,-5.77,0,0.001361646,136164.6029,64.8393967,91.8393967,8.052291394,80.52291394
2006 WV29,2036,2110,13,4.20E-06,16.77,26.5,0.017,-6.05,-6.64,0,0.001381697,138169.7238,64.91957561,91.91957561,8.057268495,80.57268495
2015 EG,2115,2115,1,3.40E-08,9.56,25.7,0.025,-8.15,-8.15,0,0.001428025,142802.5,65.1004634,92.1004634,8.068485819,80.68485819
2002 TY59,2084,2114,3,2.50E-05,8.22,25.4,0.028,-5.21,-5.45,0,0.001483262,148326.1517,65.30861772,92.30861772,8.081374742,80.81374742
2016 FV13,2114,2114,1,2.00E-05,11.06,25.9,0.023,-5.44,-5.44,0,0.001488311,148831.1241,65.32725892,92.32725892,8.082528003,80.82528003
1998 DK36,2027,2100,17,5.60E-07,6.19,25,0.034,-6.45,-6.48,0,0.001505976,150597.5994,65.39197484,92.39197484,8.086530457,80.86530457
2016 FW3,2102,2102,2,3.50E-07,8.79,25.5,0.027,-7.02,-7.28,0,0.001520789,152078.928,65.44566171,92.44566171,8.089849301,80.89849301
2011 DX4,2023,2108,22,5.10E-08,17.65,26.5,0.017,-7.75,-8.15,0,0.00153051,153051.0043,65.48060863,92.48060863,8.092008937,80.92008937
2012 HE31,2094,2094,1,8.80E-08,10.6,25.7,0.024,-7.64,-7.64,0,0.001553265,155326.464,65.56155295,92.56155295,8.097008889,80.97008889
2014 HN199,2038,2110,14,1.10E-08,18.04,26.4,0.017,-8.34,-8.73,0,0.001598895,159889.4581,65.72035792,92.72035792,8.106809355,81.06809355
2014 HJ198,2022,2115,114,6.40E-07,21.89,26.8,0.015,-6.8,-7.7,0,0.001617206,161720.5838,65.78281551,92.78281551,8.110660608,81.10660608
2017 BE30,2100,2100,1,1.10E-07,16.69,26.3,0.018,-7.69,-7.69,0,0.001624539,162453.9175,65.80763058,92.80763058,8.112190245,81.12190245
2009 FG,2022,2103,31,8.00E-06,9.12,25.5,0.027,-5.47,-5.91,0,0.001637122,163712.1715,65.84994843,92.84994843,8.114798114,81.14798114
2009 HS44,2111,2111,1,7.00E-06,18.29,26.6,0.017,-5.99,-5.99,0,0.001643517,164351.6903,65.87133236,92.87133236,8.116115596,81.16115596
2010 NH,2089,2092,2,1.50E-06,10.29,25.7,0.025,-6.38,-6.43,0,0.001654439,165443.9063,65.90766168,92.90766168,8.118353384,81.18353384
2002 XV90,2101,2114,4,1.70E-08,7.61,25.2,0.031,-8.28,-8.54,0,0.001725259,172525.9371,66.13755979,93.13755979,8.132500218,81.32500218
2008 JL3,2027,2113,22,8.50E-05,8.42,25.3,0.029,-3.72,-3.73,0,0.001729092,172909.23,66.14973164,93.14973164,8.133248529,81.33248529
